Name,Tags,Original price,Discount,Offer price
New World,"['Massively Multiplayer', 'Open World', 'MMORPG']","39,99",-50%,"19,99"
Warhammer: Vermintide 2,"['Co-op', 'First-Person', 'Games Workshop']","27,99",-80%,"5,59"
Deep Rock Galactic,"['Co-op', 'PvE', 'FPS']","29,99",-67%,"9,89"
EA Play,['untagged'],"3,99",-80%,"0,80"
Slay the Spire,"['Roguelike Deckbuilder', 'Card Game', 'Card Battler']","20,99",-66%,"7,13"
The Unliving,"['Early Access', 'RPG', 'Action']","16,99",-10%,"15,29"
Dead Cells,"['Adventure', 'Action Roguelike', 'Souls-like']","24,99",-40%,"14,99"
Space Engineers,"['Space', 'Sandbox', 'Building']","16,99",-50%,"8,49"
Inscryption,"['Card Battler', 'Card Game', 'Story Rich']","19,99",-40%,"11,99"
Astro Colony,"['Early Access', 'Automation', 'Resource Management']","19,50",-10%,"17,55"
